Candidato,Subgrupo,Valor,n,HitRate,NDCG@10,MAP@10
1_Baseline_Léxico,dominio,Liquidez,79,0.8860759493670886,0.7188900717878293,0.6658378541289933
1_Baseline_Léxico,dificultad,Alta,48,0.9583333333333334,0.7646859553497004,0.7019345238095238
1_Baseline_Léxico,longitud,corta (<=10 tokens),19,1.0,0.7620060308760555,0.6842105263157895
1_Baseline_Léxico,dificultad,Baja,14,0.8571428571428571,0.7016761299134118,0.6488095238095238
1_Baseline_Léxico,longitud,media (11-18 tokens),71,0.8732394366197183,0.6860975605463051,0.6265425888665325
1_Baseline_Léxico,dificultad,Media,47,0.8936170212765957,0.66587080348241,0.5937943262411348
1_Baseline_Léxico,longitud,larga (>18 tokens),19,1.0,0.7701725291481023,0.6947368421052631
1_Baseline_Léxico,dominio,Credito,30,1.0,0.7010667922669384,0.6027777777777777
2_Baseline_Semántico,dominio,Liquidez,79,0.9873417721518988,0.8198691157732548,0.764873417721519
2_Baseline_Semántico,dificultad,Alta,48,0.9791666666666666,0.8740015290960875,0.8381944444444445
2_Baseline_Semántico,longitud,corta (<=10 tokens),19,1.0,0.9288795954935503,0.9052631578947368
2_Baseline_Semántico,dificultad,Baja,14,1.0,0.9034794510269613,0.8714285714285713
2_Baseline_Semántico,longitud,media (11-18 tokens),71,0.9859154929577465,0.8224742309601847,0.7684272300469484
2_Baseline_Semántico,dificultad,Media,47,1.0,0.7996889938318654,0.7338652482269503
2_Baseline_Semántico,longitud,larga (>18 tokens),19,1.0,0.8495676688703561,0.7982456140350876
2_Baseline_Semántico,dominio,Credito,30,1.0,0.9138836091666734,0.8833333333333333
3_Híbrido_Simple,dominio,Liquidez,79,0.9873417721518988,0.8375351072955748,0.7880450070323488
3_Híbrido_Simple,dificultad,Alta,48,1.0,0.9072382922619097,0.875
3_Híbrido_Simple,longitud,corta (<=10 tokens),19,1.0,0.757409587176798,0.6754385964912281
3_Híbrido_Simple,dificultad,Baja,14,1.0,0.8182627688229477,0.7579365079365079
3_Híbrido_Simple,longitud,media (11-18 tokens),71,0.9859154929577465,0.8470641473530223,0.8017214397496087
3_Híbrido_Simple,dificultad,Media,47,0.9787234042553191,0.7456430151135082,0.6697399527186761
3_Híbrido_Simple,longitud,larga (>18 tokens),19,1.0,0.8166316781054777,0.7543859649122807
3_Híbrido_Simple,dominio,Credito,30,1.0,0.7961021675359136,0.7277777777777777
4_Híbrido_Reranker,dominio,Liquidez,79,0.9620253164556962,0.7973158682229875,0.7424050632911392
4_Híbrido_Reranker,dificultad,Alta,48,0.9791666666666666,0.8517723360506796,0.8090277777777778
4_Híbrido_Reranker,longitud,corta (<=10 tokens),19,1.0,0.9085189214285745,0.8771929824561404
4_Híbrido_Reranker,dificultad,Baja,14,0.9285714285714286,0.7512701829147143,0.6928571428571428
4_Híbrido_Reranker,longitud,media (11-18 tokens),71,0.9577464788732394,0.8221110830333108,0.7767605633802817
4_Híbrido_Reranker,dificultad,Media,47,0.9787234042553191,0.8314336546403328,0.7826241134751772
4_Híbrido_Reranker,longitud,larga (>18 tokens),19,1.0,0.7814994766750667,0.7105263157894737
4_Híbrido_Reranker,dominio,Credito,30,1.0,0.9164094289906082,0.888888888888889
5_Semántico_Expandido,dominio,Liquidez,79,0.9873417721518988,0.81733426519733,0.7617088607594936
5_Semántico_Expandido,dificultad,Alta,48,0.9791666666666666,0.8698295875232112,0.8329861111111111
5_Semántico_Expandido,longitud,corta (<=10 tokens),19,1.0,0.9288795954935503,0.9052631578947368
5_Semántico_Expandido,dificultad,Baja,14,1.0,0.9034794510269613,0.8714285714285713
5_Semántico_Expandido,longitud,media (11-18 tokens),71,0.9859154929577465,0.8196537634179584,0.764906103286385
5_Semántico_Expandido,dificultad,Media,47,1.0,0.7996889938318654,0.7338652482269503
5_Semántico_Expandido,longitud,larga (>18 tokens),19,1.0,0.8495676688703561,0.7982456140350876
5_Semántico_Expandido,dominio,Credito,30,1.0,0.9138836091666734,0.8833333333333333
6_SOTA_Completo,dominio,Liquidez,79,0.9746835443037974,0.8069168029351577,0.7518083182640145
6_SOTA_Completo,dificultad,Alta,48,1.0,0.8641721868939346,0.8189484126984127
6_SOTA_Completo,longitud,corta (<=10 tokens),19,1.0,0.8923366090715381,0.8552631578947368
6_SOTA_Completo,dificultad,Baja,14,1.0,0.76477702321934,0.6916666666666667
6_SOTA_Completo,longitud,media (11-18 tokens),71,0.971830985915493,0.8271890922235687,0.7801810865191148
6_SOTA_Completo,dificultad,Media,47,0.9574468085106383,0.8394058169491957,0.7992907801418441
6_SOTA_Completo,longitud,larga (>18 tokens),19,1.0,0.8397050301241696,0.7850877192982456
6_SOTA_Completo,dominio,Credito,30,1.0,0.9297596420238124,0.9055555555555556
